DateTime,STATION_CURRENT_PUMP1,STATION_HZ_PUMP1,STATION_SPEED_PUMP1,TIME_RUN_PUMP1,STATION_CURRENT_PUMP2,STATION_HZ_PUMP2,STATION_SPEED_PUMP2,TIME_RUN_PUMP2,STATION_CURRENT_PUMP3,STATION_HZ_PUMP3,STATION_SPEED_PUMP3,TIME_RUN_PUMP3,STATION_CURRENT_PUMP4,STATION_HZ_PUMP4,STATION_SPEED_PUMP4,TIME_RUN_PUMP4,MASTER_TOTAL_ROUGH_WATER,MASTER_FLOW_NUOC_THO,MASTER_DUC_NUOC_THO,DO,MASTER_PH,MASTER_CLO_DU1,((CloAnalys1)),MASTER_DO_TRONG_NUOC_SACH,CHEMICAL_ACTUAL_CURRENT_PAC1,CHEMICAL_ACTUAL_HZ_PAC1,CHEMICAL_ACTUAL_SPEED_PAC1,TIME_RUN_PAC1,CHEMICAL_ACTUAL_CURRENT_PAC2,CHEMICAL_ACTUAL_HZ_PAC2,CHEMICAL_ACTUAL_SPEED_PAC2,TIME_RUN_PAC2,TOTAL_LL_PAC,FEB_LUU_LUONG_PAC,CHEMICAL_ACTUAL_CURRENT_POL1,CHEMICAL_HZ_POL1,CHEMICAL_ACTUAL_SPEED_POL1,TIME_RUN_POL1,CHEMICAL_ACTUAL_CURRENT_POL2,CHEMICAL_HZ_POL2,CHEMICAL_ACTUAL_SPEED_POL2,TIME_RUN_POL2,TONG_LL_KMNO4,CHEMICAL_SQL_LUU_LUONG_KMNO4,CHEMICAL_ACTUAL_CURRENT_JAVEN1,CHEMICAL_ACTUAL_HZ_JAVEN1,CHEMICAL_ACTUAL_SPEED_JAVEN1,TIME_RUN_JAVEN1,CHEMICAL_ACTUAL_CURRENT_JAVEN2,CHEMICAL_ACTUAL_HZ_JAVEN2,CHEMICAL_ACTUAL_SPEED_JAVEN2,TIME_RUN_JAVEN2,TOTAL_LL_JAVEN,FEB_LUU_LUONG_JAVEN,STATION2_CURRENT_PUMP1,STATION2_HZ_PUMP1,STATION2_SPEED_PUMP1,PUMP1_RUN,STATION2_CURRENT_PUMP2,STATION2_HZ_PUMP2,STATION2_SPEED_PUMP2,PUMP2_RUN,STATION2_CURRENT_PUMP3,STATION2_HZ_PUMP3,STATION2_SPEED_PUMP3,PUMP3_RUN,STATION2_CURRENT_PUMP4,STATION2_HZ_PUMP4,STATION2_SPEED_PUMP4,PUMP4_RUN,STATION2_CURRENT_PUMP5,STATION2_HZ_PUMP5,STATION2_SPEED_PUMP5,PUMP5_RUN,DATA_TOTAL_CLEAN_WATER,DATA_FLOW_CLEAN_WATER,DATA_PRESSURE_TOTAL,DATA_LEVEL_CLEAR_WATER,DATA_CLO_DU2,((CloAnalys2)),TA_CURRENT_PUMP1,TA_HZ_PUMP1,TA_SPEED_PUMP1,TIME_PUMP1_RUN,TA_CURRENT_PUMP2,TA_HZ_PUMP2,TA_SPEED_PUMP2,TIME_PUMP2_RUN,TA_CURRENT_PUMP3,TA_HZ_PUMP3,TA_SPEED_PUMP3,TIME_PUMP3_RUN,TA_CURRENT_PUMP4,TA_HZ_PUMP4,TA_SPEED_PUMP4,TIME_PUMP4_RUN,TA_CURRENT_PUMP5,TA_HZ_PUMP5,TA_SPEED_PUMP5,TIME_PUMP5_RUN,LUU_LUONG_TONG,LUU_LUONG_TUC_THOI,AP_LUC_DAU_VAO,AP_LUC_DAU_RA,MUC_NUOC_BE,MUC_NUOC_BE_2,CLO_DU1
20250606_000025,0.6231079,0,0,10.4,0,0,0,0,1.501465E-02,0,0,0,187.6868,42.7196,1276.897,--,1.60751E+07,989.6557,17.93982,4.181134,8.051722,-6.184896E-02,--,0.3074363,8.404541E-04,0,0,34.73333,0.3599011,49.49951,1385.901,35.66667,1010545,188.3681,0,0,0,0,0,--,1189.966,44.5,354129,133.0295,5.603028E-04,0,0,32.2,0.352337,49.49951,1385.901,42.35,1167670,241.1024,4.931641E-02,0,0,4889.4,0.0369873,0,0,7555.967,122.1716,47.50061,1414.568,10005.15,146.0178,47.44873,1413.296,12201.45,1.217041E-02,0,0,5551.783,1.585205E+07,978.2769,4.262876,2.526316,0.1866319,--,0,0,0,0,5.310059E-03,0,0,4.466667,0.0534668,0,0,23.48333,72.34058,40.0177,1191.182,23.33333,0.0534668,0,0,23.45,7073629,144.3866,0.4971499,4.152561,3.539902,3.557878,-1.265914E-03
20250606_000125,0.6080933,0,0,10.4,0,0,0,0,2.252197E-02,0,0,0,187.4927,42.72953,1277.169,--,1.607511E+07,994.43,18.3015,4.188368,8.063874,-6.510416E-02,--,0.2748843,8.404541E-04,0,0,34.73333,0.3581268,49.49951,1385.901,35.68333,1010548,188.6936,0,0,0,0,0,--,1189.966,44.51667,354131,134.0061,5.603028E-04,0,0,32.2,0.3510297,49.49951,1385.901,42.36666,1167674,257.7763,4.931641E-02,0,0,4889.4,4.931641E-02,0,0,7555.967,121.6191,47.49756,1414.568,10005.17,145.7683,47.44263,1413.205,12201.47,1.217041E-02,0,0,5551.783,1.585207E+07,988.9554,4.253472,2.539218,0.1886213,--,0,0,0,0,5.310059E-03,0,0,4.466667,0.0534668,0,0,23.48333,72.91089,40.00549,1191.182,23.35,0.0534668,0,0,23.45,7073632,143.3738,0.4696614,4.135923,3.579688,3.588259,-2.170139E-03
20250606_000225,0.6306152,0,0,10.4,0,0,0,0,2.252197E-02,0,0,0,186.8457,42.73202,1277.26,--,1.607513E+07,983.29,18.15683,4.19741,8.064888,-6.202981E-02,--,0.3436053,0.5641314,49.49951,1385.901,34.73333,5.603028E-04,0,0,35.7,1010551,182.147,0,0,0,0,0,--,0,44.53333,354133,19.16956,0.3561658,48.49854,1357.874,32.21667,5.603028E-04,0,0,42.38334,1167678,399.1247,4.931641E-02,0,0,4889.4,4.931641E-02,0,0,7555.967,121.4053,47.50061,1414.568,10005.18,145.8396,47.47009,1413.659,12201.48,1.217041E-02,0,0,5551.783,1.585208E+07,980.3067,4.268301,2.52424,0.1884404,--,0,0,0,0,5.310059E-03,0,0,4.466667,0.0534668,0,0,23.48333,72.92871,39.98413,1191.182,23.36667,0.0534668,0,0,23.45,7073634,147.5694,0.4750868,4.130859,3.572635,3.610438,-1.627604E-03
20250606_000325,0.6381226,0,0,10.4,0,0,0,0,2.252197E-02,0,0,0,187.4927,42.72705,1277.078,--,1.607515E+07,991.3918,17.97598,4.222729,8.068938,-6.058305E-02,--,0.3508391,0.5651587,49.49951,1385.901,34.75,5.603028E-04,0,0,35.7,1010554,176.6855,0,0,0,0,0,--,0,44.53333,354133,0,0.3560724,48.49854,1357.874,32.23333,5.603028E-04,0,0,42.38334,1167684,316.9488,4.931641E-02,0,0,4889.4,4.931641E-02,0,0,7555.967,121.3696,47.50061,1414.568,10005.2,145.8396,47.45483,1413.205,12201.5,1.217041E-02,0,0,5551.783,1.585209E+07,981.8953,4.269748,2.530172,0.1871745,--,0,0,0,0,5.310059E-03,0,0,4.466667,0.0534668,0,0,23.48333,73.10693,39.99939,1191.182,23.38333,0.0534668,0,0,23.45,7073635,146.9184,0.4761719,4.126157,3.590539,3.610134,1.808449E-03
20250606_000425,0.6831665,0,0,10.4,0,0,0,0,2.252197E-02,0,0,0,187.9456,42.72208,1276.988,--,1.607516E+07,986.5452,18.33768,4.228154,8.075521,-6.148726E-02,--,0.2965856,0.5639447,49.49951,1385.901,34.76667,4.669189E-04,0,0,35.7,1010557,174.5515,0,0,0,0,0,--,0,44.53333,354133,0,0.3565393,48.49854,1357.874,32.25,5.603028E-04,0,0,42.38334,1167689,295.9708,0.0369873,0,0,4889.4,4.931641E-02,0,0,7555.967,122.4746,47.49756,1414.568,10005.22,145.8396,47.49451,1414.296,12201.52,1.217041E-02,0,0,5551.783,1.585211E+07,978.3652,4.259259,2.536549,0.1884404,--,0,0,0,0,5.310059E-03,0,0,4.466667,0.0534668,0,0,23.48333,72.96436,39.99939,1191.182,23.4,0.0534668,0,0,23.45,7073639,147.6418,0.4902778,4.105903,3.628335,3.654948,-3.978588E-03
20250606_000525,0.6456299,0,0,10.4,0,0,0,0,2.252197E-02,0,0,0,186.7163,42.73202,1277.26,--,1.607518E+07,981.3369,18.193,4.182942,8.075014,-6.239149E-02,--,0.3436053,0.5636646,49.49951,1385.901,34.78333,4.669189E-04,0,0,35.7,1010560,176.9748,0,0,0,0,0,--,0,44.53333,354133,0,0.3561658,48.49854,1357.874,32.26667,5.603028E-04,0,0,42.38334,1167695,284.9392,0.0369873,0,0,4889.4,4.931641E-02,0,0,7555.967,121.8687,47.49756,1414.568,10005.23,145.7327,47.50061,1414.477,12201.53,1.217041E-02,0,0,5551.783,1.585213E+07,975.0115,4.27011,2.52691,0.1893446,--,0,0,0,0,5.310059E-03,0,0,4.466667,0.0534668,0,0,23.48333,72.37622,40.0116,1191.091,23.41667,0.0534668,0,0,23.45,7073641,144.0249,0.4642361,4.124349,3.654015,3.660264,-3.616898E-03
20250606_000625,0.6231079,0,0,10.4,0,0,0,0,1.501465E-02,0,0,0,187.7191,42.72705,1277.169,--,1.60752E+07,993.3449,18.62703,4.204644,8.076533,-0.0604022,--,0.3508391,0.5631042,49.49951,1385.901,34.8,4.669189E-04,0,0,35.7,1010563,176.9748,0,0,0,0,0,--,0,44.53333,354133,0,0.3563525,48.49854,1357.874,32.28333,5.603028E-04,0,0,42.38334,1167700,340.965,4.931641E-02,0,0,4889.4,0.0369873,0,0,7555.967,122.2786,47.49756,1414.568,10005.25,145.3228,47.50061,1414.477,12201.55,1.217041E-02,0,0,5551.783,1.585214E+07,980.5715,4.27879,2.527354,0.1873553,--,0,0,0,0,5.310059E-03,0,0,4.466667,0.0534668,0,0,23.48333,72.66138,40.00244,1191.091,23.43333,0.0534668,0,0,23.45,7073644,144.4589,0.487746,4.136646,3.668844,3.686089,1.446759E-03
20250606_000725,0.6831665,0,0,10.4,0,0,0,0,2.252197E-02,0,0,0,187.3309,42.72457,1276.988,--,1.607521E+07,979.0943,18.26534,4.195602,8.09932,-6.112558E-02,--,0.2567998,0.5643182,49.49951,1385.901,34.81667,5.603028E-04,0,0,35.7,1010566,176.577,0,0,0,0,0,--,0,44.53333,354133,0,0.3553253,48.49854,1357.874,32.3,5.603028E-04,0,0,42.38334,1167705,338.5417,0.0369873,0,0,4889.4,4.931641E-02,0,0,7555.967,121.0845,47.49756,1414.568,10005.27,145.8574,47.50061,1414.477,12201.57,1.217041E-02,0,0,5551.783,1.585216E+07,973.1583,4.278067,2.532545,0.1866319,--,0,0,0,0,5.310059E-03,0,0,4.466667,0.0534668,0,0,23.48333,72.89307,39.99939,1191.091,23.45,0.0534668,0,0,23.45,7073646,146.2673,0.4920863,4.145689,3.686929,3.70447,3.616898E-04
20250606_000825,0.6381226,0,0,10.4,0,0,0,0,2.252197E-02,0,0,0,187.428,42.7196,1276.897,--,1.607523E+07,990.379,19.06105,4.215495,8.092232,-6.184896E-02,--,0.2965856,0.5619836,49.49951,1385.901,34.83333,5.603028E-04,0,0,35.7,1010569,174.443,0,0,0,0,0,--,0,44.53333,354133,0,0.3556989,48.49854,1357.874,32.31667,5.603028E-04,0,0,42.38334,1167711,350.8391,0.0369873,0,0,4889.4,4.931641E-02,0,0,7555.967,121.8865,47.49756,1414.568,10005.28,145.501,47.50061,1414.477,12201.58,1.217041E-02,0,0,5551.783,1.585218E+07,979.1594,4.271918,2.538476,0.1909722,--,0,0,0,0,5.310059E-03,0,0,4.466667,0.0534668,0,0,23.48333,72.71484,39.99329,1191.091,23.46667,0.0534668,0,0,23.45,7073649,147.5694,0.4913628,4.147859,3.710438,3.718142,-1.446759E-03
20250606_000925,0.6681519,0,0,10.4,0,0,0,0,2.252197E-02,0,0,0,187.9779,42.72705,1277.078,--,1.607525E+07,992.5492,18.193,4.164858,8.094763,-6.221065E-02,--,0.3327546,0.5614233,49.49951,1385.901,34.85,5.603028E-04,0,0,35.7,1010572,175.6727,0,0,0,0,0,--,0,44.53333,354133,0,0.3556055,48.49854,1357.874,32.33333,5.603028E-04,0,0,42.38334,1167716,289.0987,4.931641E-02,0,0,4889.4,0.0369873,0,0,7555.967,121.9043,47.49756,1414.568,10005.3,145.6614,47.50061,1414.477,12201.6,1.217041E-02,0,0,5551.783,1.585219E+07,974.3055,4.284216,2.539811,0.1916956,--,0,0,0,0,5.310059E-03,0,0,4.466667,0.0534668,0,0,23.48333,72.76831,40.00549,1191.091,23.48333,0.0534668,0,0,23.45,7073651,146.9908,0.4960648,4.120732,3.732502,3.743511,-2.531829E-03
