DateTime,STATION_CURRENT_PUMP1,STATION_HZ_PUMP1,STATION_SPEED_PUMP1,TIME_RUN_PUMP1,STATION_CURRENT_PUMP2,STATION_HZ_PUMP2,STATION_SPEED_PUMP2,TIME_RUN_PUMP2,STATION_CURRENT_PUMP3,STATION_HZ_PUMP3,STATION_SPEED_PUMP3,TIME_RUN_PUMP3,STATION_CURRENT_PUMP4,STATION_HZ_PUMP4,STATION_SPEED_PUMP4,TIME_RUN_PUMP4,MASTER_TOTAL_ROUGH_WATER,MASTER_FLOW_NUOC_THO,MASTER_DUC_NUOC_THO,DO,MASTER_PH,MASTER_CLO_DU1,((CloAnalys1)),MASTER_DO_TRONG_NUOC_SACH,CHEMICAL_ACTUAL_CURRENT_PAC1,CHEMICAL_ACTUAL_HZ_PAC1,CHEMICAL_ACTUAL_SPEED_PAC1,TIME_RUN_PAC1,CHEMICAL_ACTUAL_CURRENT_PAC2,CHEMICAL_ACTUAL_HZ_PAC2,CHEMICAL_ACTUAL_SPEED_PAC2,TIME_RUN_PAC2,TOTAL_LL_PAC,FEB_LUU_LUONG_PAC,CHEMICAL_ACTUAL_CURRENT_POL1,CHEMICAL_HZ_POL1,CHEMICAL_ACTUAL_SPEED_POL1,TIME_RUN_POL1,CHEMICAL_ACTUAL_CURRENT_POL2,CHEMICAL_HZ_POL2,CHEMICAL_ACTUAL_SPEED_POL2,TIME_RUN_POL2,TONG_LL_KMNO4,CHEMICAL_SQL_LUU_LUONG_KMNO4,CHEMICAL_ACTUAL_CURRENT_JAVEN1,CHEMICAL_ACTUAL_HZ_JAVEN1,CHEMICAL_ACTUAL_SPEED_JAVEN1,TIME_RUN_JAVEN1,CHEMICAL_ACTUAL_CURRENT_JAVEN2,CHEMICAL_ACTUAL_HZ_JAVEN2,CHEMICAL_ACTUAL_SPEED_JAVEN2,TIME_RUN_JAVEN2,TOTAL_LL_JAVEN,FEB_LUU_LUONG_JAVEN,STATION2_CURRENT_PUMP1,STATION2_HZ_PUMP1,STATION2_SPEED_PUMP1,PUMP1_RUN,STATION2_CURRENT_PUMP2,STATION2_HZ_PUMP2,STATION2_SPEED_PUMP2,PUMP2_RUN,STATION2_CURRENT_PUMP3,STATION2_HZ_PUMP3,STATION2_SPEED_PUMP3,PUMP3_RUN,STATION2_CURRENT_PUMP4,STATION2_HZ_PUMP4,STATION2_SPEED_PUMP4,PUMP4_RUN,STATION2_CURRENT_PUMP5,STATION2_HZ_PUMP5,STATION2_SPEED_PUMP5,PUMP5_RUN,DATA_TOTAL_CLEAN_WATER,DATA_FLOW_CLEAN_WATER,DATA_PRESSURE_TOTAL,DATA_LEVEL_CLEAR_WATER,DATA_CLO_DU2,((CloAnalys2)),TA_CURRENT_PUMP1,TA_HZ_PUMP1,TA_SPEED_PUMP1,TIME_PUMP1_RUN,TA_CURRENT_PUMP2,TA_HZ_PUMP2,TA_SPEED_PUMP2,TIME_PUMP2_RUN,TA_CURRENT_PUMP3,TA_HZ_PUMP3,TA_SPEED_PUMP3,TIME_PUMP3_RUN,TA_CURRENT_PUMP4,TA_HZ_PUMP4,TA_SPEED_PUMP4,TIME_PUMP4_RUN,TA_CURRENT_PUMP5,TA_HZ_PUMP5,TA_SPEED_PUMP5,TIME_PUMP5_RUN,LUU_LUONG_TONG,LUU_LUONG_TUC_THOI,AP_LUC_DAU_VAO,AP_LUC_DAU_RA,MUC_NUOC_BE,MUC_NUOC_BE_2,CLO_DU1
20250605_000025,0.6531372,0,0,4.816667,0,0,0,0,1.501465E-02,0,0,0,183.4167,42.22774,1262.214,--,1.60589E+07,965.1331,18.98872,3.332972,7.92513,-0.0636574,--,0.3291377,8.404541E-04,0,0,27.15,0.360835,42.49268,1189.88,23.91667,1007296,161.8562,0,0,0,0,0,--,0,32.25,352474,132.4508,5.603028E-04,0,0,23.95,0.3519635,47.49756,1329.932,30.68333,1163063,179.2173,0.0369873,0,0,4883.867,4.931641E-02,0,0,7555.967,130.459,48.99902,1459.1,9986.733,145.7861,47.95837,1428.019,12191.12,1.217041E-02,0,0,5551.783,1.583591E+07,1001.222,4.441913,2.680541,0.2094184,--,0,0,0,0,5.310059E-03,0,0,4.466667,0.0534668,0,0,18.91667,76.79614,42.46826,1265.614,12.83333,0.0534668,0,0,18.9,7066589,153.8629,0.4761719,4.615885,3.28274,3.293859,-1.265914E-03
20250605_000125,0.6531372,0,0,4.816667,0,0,0,0,1.501465E-02,0,0,0,183.0933,42.22774,1262.304,--,1.605892E+07,964.6267,18.48235,3.345631,7.93222,-6.184896E-02,--,0.2459491,8.404541E-04,0,0,27.15,0.3619556,42.49573,1189.88,23.93333,1007299,162.3264,0,0,0,0,0,--,0,32.25,352474,132.4146,5.603028E-04,0,0,23.95,0.3528039,47.49756,1329.932,30.7,1163067,260.0912,4.931641E-02,0,0,4883.867,4.931641E-02,0,0,7555.967,130.3877,48.99902,1459.1,9986.75,145.7861,47.98279,1427.837,12191.13,1.217041E-02,0,0,5551.783,1.583592E+07,1007.93,4.43287,2.697743,0.2101418,--,0,0,0,0,5.310059E-03,0,0,4.466667,0.0534668,0,0,18.91667,77.04565,42.49268,1265.614,12.85,0.0534668,0,0,18.9,7066592,156.3223,0.4570023,4.609013,3.320356,3.316645,-4.340278E-03
20250605_000225,0.6456299,0,0,4.816667,0,0,0,0,2.252197E-02,0,0,0,183.158,42.22277,1262.304,--,1.605894E+07,953.4144,18.48235,3.35829,7.948929,-6.456164E-02,--,0.2929688,9.338378E-04,0,0,27.15,0.3628894,42.49878,1189.88,23.95,1007302,162.3264,0,0,0,0,0,--,0,32.25,352474,132.3785,5.603028E-04,0,0,23.95,0.3534576,47.49756,1329.932,30.71667,1163070,174.5877,4.931641E-02,0,0,4883.867,4.931641E-02,0,0,7555.967,131.2253,48.99902,1459.1,9986.767,145.8752,47.9187,1427.382,12191.15,1.217041E-02,0,0,5551.783,1.583594E+07,1011.548,4.437211,2.690922,0.2067057,--,0,0,0,0,5.310059E-03,0,0,4.466667,0.0534668,0,0,18.91667,76.81396,42.48657,1265.614,12.86667,0.0534668,0,0,18.9,7066594,153.2118,0.4862992,4.615524,3.331749,3.342925,-7.233797E-04
20250605_000325,0.6456299,0,0,4.816667,0,0,0,0,1.501465E-02,0,0,0,183.5461,42.23271,1262.304,--,1.605895E+07,959.9247,18.33768,3.327546,7.973235,-6.293403E-02,--,0.3002025,8.404541E-04,0,0,27.15,0.3622357,42.49878,1189.88,23.96667,1007305,162.037,0,0,0,0,0,--,0,32.25,352474,130.3892,4.669189E-04,0,0,23.95,0.3527106,47.50061,1329.932,30.73333,1163073,162.2179,4.931641E-02,0,0,4883.867,4.931641E-02,0,0,7555.967,130.3342,48.99902,1459.1,9986.783,145.9109,47.97974,1428.2,12191.17,1.217041E-02,0,0,5551.783,1.583596E+07,1012.254,4.445168,2.690477,0.2090567,--,0,0,0,0,5.310059E-03,0,0,4.466667,0.0534668,0,0,18.91667,77.09912,42.49268,1265.614,12.88333,0.0534668,0,0,18.9,7066597,155.3096,0.4779803,4.595269,3.352908,3.354926,-4.340278E-03
20250605_000425,0.6531372,0,0,4.816667,0,0,0,0,2.252197E-02,0,0,0,183.0286,42.22774,1262.214,--,1.605897E+07,952.908,18.44618,3.338397,7.971716,-6.221065E-02,--,0.2965856,9.338378E-04,0,0,27.15,0.3599945,42.49878,1189.88,23.98333,1007307,162.9413,0,0,0,0,0,--,0,32.25,352474,130.4977,5.603028E-04,0,0,23.95,0.3519635,47.49756,1329.932,30.75,1163077,215.2778,4.931641E-02,0,0,4883.867,4.931641E-02,0,0,7555.967,130.1738,48.99902,1459.1,9986.8,145.4119,47.94312,1428.564,12191.18,1.217041E-02,0,0,5551.783,1.583597E+07,1004.047,4.436125,2.683655,0.2036314,--,0,0,0,0,5.310059E-03,0,0,4.466667,0.0534668,0,0,18.91667,76.68921,42.48352,1265.614,12.91667,0.0534668,0,0,18.9,7066600,150.3183,0.4859375,4.609737,3.378769,3.382422,-5.425347E-04
20250605_000525,0.6681519,0,0,4.816667,0,0,0,0,2.252197E-02,0,0,0,183.255,42.23022,1262.214,--,1.605898E+07,957.6099,17.28877,3.347439,7.980324,-6.221065E-02,--,0.2785012,8.404541E-04,0,0,27.15,0.3587805,42.49573,1189.88,24,1007310,163.52,0,0,0,0,0,--,0,32.25,352474,131.7636,4.669189E-04,0,0,23.95,0.3520569,47.49756,1329.932,30.76667,1163080,185.0767,4.931641E-02,0,0,4883.867,0.0369873,0,0,7555.967,130.6016,48.99902,1459.1,9986.816,145.804,47.94617,1427.928,12191.2,1.217041E-02,0,0,5551.783,1.583599E+07,1000.781,4.440828,2.674165,0.2067057,--,0,0,0,0,5.310059E-03,0,0,4.466667,0.0534668,0,0,18.91667,76.58228,42.47437,1265.614,12.91667,0.0534668,0,0,18.9,7066602,155.3819,0.4866609,4.616971,3.391428,3.408094,-7.233797E-04
20250605_000625,0.6306152,0,0,4.816667,0,0,0,0,2.252197E-02,0,0,0,183.4814,42.22526,1262.214,--,1.6059E+07,950.9548,18.15683,3.349247,7.997034,-5.913628E-02,--,0.3436053,8.404541E-04,0,0,27.15,0.3599011,42.50183,1189.88,24.01667,1007313,162.8327,0,0,0,0,0,--,0,32.25,352474,129.702,4.669189E-04,0,0,23.95,0.3531775,47.49756,1329.932,30.78333,1163084,275.0651,4.931641E-02,0,0,4883.867,4.931641E-02,0,0,7555.967,130.2986,48.99902,1459.1,9986.833,145.3406,47.96753,1428.2,12191.22,1.217041E-02,0,0,5551.783,1.583601E+07,1000.075,4.445891,2.674461,0.2094184,--,0,0,0,0,5.310059E-03,0,0,4.466667,0.0534668,0,0,18.91667,76.58228,42.49268,1265.614,12.93333,0.0534668,0,0,18.9,7066605,151.2587,0.4624277,4.622396,3.40481,3.429818,-4.159433E-03
20250605_000725,0.6681519,0,0,4.816667,0,0,0,0,2.252197E-02,0,0,0,183.158,42.22526,1262.214,--,1.605902E+07,955.5845,19.16956,3.305845,8.011719,-6.275318E-02,--,0.2893519,8.404541E-04,0,0,27.15,0.3619556,42.49268,1189.88,24.03333,1007315,162.8327,0,0,0,0,0,--,0,32.25,352474,130.57,4.669189E-04,0,0,23.95,0.3534576,47.50061,1329.932,30.8,1163088,220.0883,4.931641E-02,0,0,4883.867,4.931641E-02,0,0,7555.967,129.9778,48.99902,1459.1,9986.85,145.8931,47.95837,1429.745,12191.23,1.217041E-02,0,0,5551.783,1.583602E+07,996.5452,4.451317,2.674758,0.202908,--,0,0,0,0,5.310059E-03,0,0,4.466667,0.0534668,0,0,18.91667,76.56445,42.51709,1265.614,12.95,0.0534668,0,0,18.9,7066607,149.8842,0.4797888,4.623481,3.426874,3.441059,-3.978588E-03
20250605_000825,0.6306152,0,0,4.816667,0,0,0,0,2.252197E-02,0,0,0,183.999,42.23022,1262.032,--,1.605903E+07,949.7974,18.15683,3.31127,8.009187,-6.148726E-02,--,0.2785012,8.404541E-04,0,0,27.15,0.3626092,42.49573,1189.88,24.05,1007318,161.5668,0,0,0,0,0,--,0,32.25,352474,130.4615,5.603028E-04,0,0,23.95,0.3528039,47.49756,1329.932,30.81667,1163092,234.0856,0.0369873,0,0,4883.867,4.931641E-02,0,0,7555.967,129.9065,48.99902,1459.1,9986.866,145.9822,47.98889,1429.109,12191.25,1.217041E-02,0,0,5551.783,1.583604E+07,1005.282,4.455295,2.686028,0.2061632,--,0,0,0,0,5.310059E-03,0,0,4.466667,0.0534668,0,0,18.91667,76.65356,42.48962,1265.614,12.96667,0.0534668,0,0,18.9,7066610,153.5012,0.4924479,4.6318,3.455447,3.459136,-2.350984E-03
20250605_000925,0.6606445,0,0,4.816667,0,0,0,0,1.501465E-02,0,0,0,183.0933,42.22774,1262.304,--,1.605905E+07,957.7546,18.37384,3.296803,8.01577,-6.329572E-02,--,0.3327546,8.404541E-04,0,0,27.15,0.3626092,42.49573,1189.88,24.06667,1007321,161.4222,0,0,0,0,0,--,0,32.25,352474,132.4146,4.669189E-04,0,0,23.95,0.3516833,47.49756,1329.932,30.83333,1163095,198.4954,4.931641E-02,0,0,4883.867,4.931641E-02,0,0,7555.967,130.7263,48.99902,1459.1,9986.884,145.7505,48.0072,1429.018,12191.27,1.217041E-02,0,0,5551.783,1.583606E+07,1001.84,4.457104,2.6798,0.2072483,--,0,0,0,0,5.310059E-03,0,0,4.466667,0.0534668,0,0,18.91667,76.86743,42.48657,1265.614,12.98333,0.0534668,0,0,18.9,7066611,154.8033,0.4866609,4.621672,3.452915,3.471137,-3.978588E-03
