DateTime,STATION_CURRENT_PUMP1,STATION_HZ_PUMP1,STATION_SPEED_PUMP1,TIME_RUN_PUMP1,STATION_CURRENT_PUMP2,STATION_HZ_PUMP2,STATION_SPEED_PUMP2,TIME_RUN_PUMP2,STATION_CURRENT_PUMP3,STATION_HZ_PUMP3,STATION_SPEED_PUMP3,TIME_RUN_PUMP3,STATION_CURRENT_PUMP4,STATION_HZ_PUMP4,STATION_SPEED_PUMP4,TIME_RUN_PUMP4,MASTER_TOTAL_ROUGH_WATER,MASTER_FLOW_NUOC_THO,MASTER_DUC_NUOC_THO,DO,MASTER_PH,MASTER_CLO_DU1,((CloAnalys1)),MASTER_DO_TRONG_NUOC_SACH,CHEMICAL_ACTUAL_CURRENT_PAC1,CHEMICAL_ACTUAL_HZ_PAC1,CHEMICAL_ACTUAL_SPEED_PAC1,TIME_RUN_PAC1,CHEMICAL_ACTUAL_CURRENT_PAC2,CHEMICAL_ACTUAL_HZ_PAC2,CHEMICAL_ACTUAL_SPEED_PAC2,TIME_RUN_PAC2,TOTAL_LL_PAC,FEB_LUU_LUONG_PAC,CHEMICAL_ACTUAL_CURRENT_POL1,CHEMICAL_HZ_POL1,CHEMICAL_ACTUAL_SPEED_POL1,TIME_RUN_POL1,CHEMICAL_ACTUAL_CURRENT_POL2,CHEMICAL_HZ_POL2,CHEMICAL_ACTUAL_SPEED_POL2,TIME_RUN_POL2,TONG_LL_KMNO4,CHEMICAL_SQL_LUU_LUONG_KMNO4,CHEMICAL_ACTUAL_CURRENT_JAVEN1,CHEMICAL_ACTUAL_HZ_JAVEN1,CHEMICAL_ACTUAL_SPEED_JAVEN1,TIME_RUN_JAVEN1,CHEMICAL_ACTUAL_CURRENT_JAVEN2,CHEMICAL_ACTUAL_HZ_JAVEN2,CHEMICAL_ACTUAL_SPEED_JAVEN2,TIME_RUN_JAVEN2,TOTAL_LL_JAVEN,FEB_LUU_LUONG_JAVEN,STATION2_CURRENT_PUMP1,STATION2_HZ_PUMP1,STATION2_SPEED_PUMP1,PUMP1_RUN,STATION2_CURRENT_PUMP2,STATION2_HZ_PUMP2,STATION2_SPEED_PUMP2,PUMP2_RUN,STATION2_CURRENT_PUMP3,STATION2_HZ_PUMP3,STATION2_SPEED_PUMP3,PUMP3_RUN,STATION2_CURRENT_PUMP4,STATION2_HZ_PUMP4,STATION2_SPEED_PUMP4,PUMP4_RUN,STATION2_CURRENT_PUMP5,STATION2_HZ_PUMP5,STATION2_SPEED_PUMP5,PUMP5_RUN,DATA_TOTAL_CLEAN_WATER,DATA_FLOW_CLEAN_WATER,DATA_PRESSURE_TOTAL,DATA_LEVEL_CLEAR_WATER,DATA_CLO_DU2,((CloAnalys2)),TA_CURRENT_PUMP1,TA_HZ_PUMP1,TA_SPEED_PUMP1,TIME_PUMP1_RUN,TA_CURRENT_PUMP2,TA_HZ_PUMP2,TA_SPEED_PUMP2,TIME_PUMP2_RUN,TA_CURRENT_PUMP3,TA_HZ_PUMP3,TA_SPEED_PUMP3,TIME_PUMP3_RUN,TA_CURRENT_PUMP4,TA_HZ_PUMP4,TA_SPEED_PUMP4,TIME_PUMP4_RUN,TA_CURRENT_PUMP5,TA_HZ_PUMP5,TA_SPEED_PUMP5,TIME_PUMP5_RUN,LUU_LUONG_TONG,LUU_LUONG_TUC_THOI,AP_LUC_DAU_VAO,AP_LUC_DAU_RA,MUC_NUOC_BE,MUC_NUOC_BE_2,CLO_DU1
20250608_000031,0.6306152,0,0,25,0,0,0,0,2.252197E-02,0,0,0,184.743,42.22774,1262.123,--,1.611037E+07,980.7581,18.3015,4.475911,7.97678,-6.130642E-02,--,0.3146701,8.404541E-04,0,0,58.08333,0.3597144,49.49951,1385.901,54.38334,1017877,188.2957,0,0,0,0,0,--,0,70.95,357761,0,5.603028E-04,0,0,60.63334,0.3525238,44.99817,1259.949,56.23333,1178991,358.8686,0.0369873,0,0,4898.083,4.931641E-02,0,0,7557.583,135.3601,50,1488.909,10039.1,145.6792,48.26355,1437.47,12229.53,1.217041E-02,0,0,5551.783,1.58868E+07,1017.108,4.544632,2.694777,0.2842882,--,0,0,0,0,5.310059E-03,0,0,8.05,0.0534668,0,0,34.56667,75.28125,40.00244,1191.182,39.61666,0.0534668,0,0,35.85,7090311,169.6325,0.515596,4.076968,3.660344,3.675759,-2.170139E-03
20250608_000131,0.6681519,0,0,25,0,0,0,0,2.252197E-02,0,0,0,184.5166,42.23022,1262.214,--,1.611039E+07,984.375,19.02489,4.439743,7.97121,-6.311487E-02,--,0.3508391,9.338378E-04,0,0,58.08333,0.3606482,49.49951,1385.901,54.4,1017880,188.9829,0,0,0,0,0,--,0,70.95,357761,0,5.603028E-04,0,0,60.63334,0.3543915,45.00122,1259.949,56.25,1178996,273.7268,0.0369873,0,0,4898.083,4.931641E-02,0,0,7557.583,135.9661,50,1488.909,10039.12,145.9287,48.28186,1438.197,12229.55,1.217041E-02,0,0,5551.783,1.588682E+07,1011.989,4.556568,2.698336,0.2772352,--,0,0,0,0,5.310059E-03,0,0,8.05,0.0534668,0,0,34.56667,74.80005,40.00854,1191.182,39.63334,0.0534668,0,0,35.85,7090314,168.6921,0.493533,4.050203,3.671195,3.694596,-1.808449E-03
20250608_000231,0.6531372,0,0,25,0,0,0,0,2.252197E-02,0,0,0,184.4519,42.23022,1262.304,--,1.611041E+07,989.3663,18.33768,4.432509,7.97678,-6.329572E-02,--,0.2712674,8.404541E-04,0,0,58.08333,0.359154,49.49951,1385.901,54.41667,1017883,187.7532,0,0,0,0,0,--,0,70.95,357761,0,5.603028E-04,0,0,60.63334,0.3522436,44.99512,1259.949,56.26667,1179001,277.6693,4.931641E-02,0,0,4898.083,4.931641E-02,0,0,7557.583,135.0571,50,1488.909,10039.13,145.7505,48.30017,1438.379,12229.57,1.217041E-02,0,0,5551.783,1.588684E+07,1012.342,4.551143,2.687511,0.2794054,--,0,0,0,0,5.310059E-03,0,0,8.05,0.0534668,0,0,34.56667,75.08521,40.00549,1191.182,39.65,0.0534668,0,0,35.85,7090317,168.6921,0.505107,4.083839,3.692896,3.712066,1.808449E-04
20250608_000331,0.6756592,0,0,25,0,0,0,0,2.252197E-02,0,0,0,184.5813,42.23022,1262.214,--,1.611042E+07,988.7153,18.33768,4.443359,7.984375,-6.221065E-02,--,0.2604167,8.404541E-04,0,0,58.08333,0.3605548,49.49951,1385.901,54.43333,1017886,189.3446,0,0,0,0,0,--,0,70.95,357761,0,5.603028E-04,0,0,60.63334,0.3541113,45.00122,1259.949,56.28333,1179006,346.5712,0.0369873,0,0,4898.083,4.931641E-02,0,0,7557.583,135.77,50,1488.909,10039.15,146.1426,48.33374,1439.561,12229.58,1.217041E-02,0,0,5551.783,1.588685E+07,1016.49,4.584418,2.694777,0.2779586,--,0,0,0,0,5.310059E-03,0,0,8.05,0.0534668,0,0,34.56667,75.40601,39.99634,1191.182,39.66667,0.0534668,0,0,35.85,7090320,171.0793,0.5137876,4.087818,3.725087,3.730295,-7.957175E-03
20250608_000431,0.6306152,0,0,25,0,0,0,0,1.501465E-02,0,0,0,184.7754,42.22526,1262.123,--,1.611044E+07,979.456,18.26534,4.448785,7.979311,-6.112558E-02,--,0.2785012,8.404541E-04,0,0,58.08333,0.3587805,49.49951,1385.901,54.45,1017889,189.2723,0,0,0,0,0,--,0,70.95,357761,0,5.603028E-04,0,0,60.63334,0.3520569,44.99817,1259.949,56.3,1179010,228.8773,4.931641E-02,0,0,4898.083,4.931641E-02,0,0,7557.583,135.8948,50,1488.909,10039.17,145.6792,48.3429,1439.742,12229.6,1.217041E-02,0,0,5551.783,1.588687E+07,1011.636,4.575376,2.69626,0.2812138,--,0,0,0,0,5.310059E-03,0,0,8.05,0.0534668,0,0,34.56667,75.40601,40.0116,1191.182,39.68333,0.0534668,0,0,35.85,7090322,171.5133,0.5188512,4.08818,3.741363,3.754449,-3.255208E-03
20250608_000531,0.6606445,0,0,25,0,0,0,0,2.252197E-02,0,0,0,184.2902,42.22526,1262.123,--,1.611045E+07,981.4815,18.73553,4.439743,7.983869,-6.239149E-02,--,0.2459491,9.338378E-04,0,0,58.08333,0.3605548,49.49951,1385.901,54.46667,1017893,187.283,0,0,0,0,0,--,0,70.95,357761,0,5.603028E-04,0,0,60.63334,0.3542047,45.00122,1259.949,56.31667,1179015,314.5255,4.931641E-02,0,0,4898.083,4.931641E-02,0,0,7557.583,135.6096,50,1488.909,10039.18,145.8396,48.32764,1439.379,12229.62,1.217041E-02,0,0,5551.783,1.588689E+07,1011.636,4.561994,2.68499,0.2817564,--,0,0,0,0,5.310059E-03,0,0,8.05,0.0534668,0,0,34.56667,75.15649,39.98718,1191.182,39.7,0.0534668,0,0,35.85,7090325,170.3559,0.5184895,4.099031,3.742448,3.772374,-4.159433E-03
20250608_000631,0.6456299,0,0,25,0,0,0,0,2.252197E-02,0,0,0,184.1284,42.23022,1262.304,--,1.611047E+07,990.4514,17.75897,4.472294,7.985388,-6.275318E-02,--,0.2893519,9.338378E-04,0,0,58.08333,0.3583136,49.49951,1385.901,54.48333,1017896,190.068,0,0,0,0,0,--,0,70.95,357761,0,5.603028E-04,0,0,60.63334,0.3519635,44.99512,1259.949,56.33333,1179019,259.4039,4.931641E-02,0,0,4898.083,4.931641E-02,0,0,7557.583,135.9126,50,1488.909,10039.2,145.9822,48.36731,1440.469,12229.63,1.217041E-02,0,0,5551.783,1.58869E+07,1011.372,4.565249,2.692405,0.2804905,--,0,0,0,0,5.310059E-03,0,0,8.05,0.0534668,0,0,34.56667,74.63965,39.99634,1191.182,39.71667,0.0534668,0,0,35.85,7090328,166.522,0.5076389,4.101924,3.78567,3.795161,-7.233797E-04
20250608_000731,0.6231079,0,0,25,0,0,0,0,2.252197E-02,0,0,0,183.7726,42.23271,1262.304,--,1.611049E+07,982.7112,18.44618,4.436126,7.990452,-6.383825E-02,--,0.2278646,8.404541E-04,0,0,58.08333,0.3601813,49.49951,1385.901,54.5,1017899,186.3788,0,0,0,0,0,--,0,70.95,357761,0,5.603028E-04,0,0,60.63334,0.3540179,44.99817,1259.949,56.35,1179024,248.7341,0.0369873,0,0,4898.083,4.931641E-02,0,0,7557.583,135.9304,50,1488.909,10039.22,145.6792,48.38562,1440.651,12229.65,1.217041E-02,0,0,5551.783,1.588692E+07,1014.725,4.571759,2.687362,0.2770544,--,0,0,0,0,5.310059E-03,0,0,8.05,0.0534668,0,0,34.56667,74.2832,39.97803,1191.182,39.73333,0.0534668,0,0,35.85,7090331,164.2072,0.5275319,4.114222,3.788744,3.818251,-2.170139E-03
20250608_000831,0.6531372,0,0,25,0,0,0,0,1.501465E-02,0,0,0,184.0961,42.23022,1262.214,--,1.61105E+07,989.6557,17.79514,4.387298,7.997034,-6.148726E-02,--,0.2567998,8.404541E-04,0,0,58.08333,0.3593408,49.49951,1385.901,54.51667,1017902,188.9829,0,0,0,0,0,--,0,70.95,357761,0,5.603028E-04,0,0,60.63334,0.3517767,44.99512,1259.949,56.36666,1179028,301.1791,4.931641E-02,0,0,4898.083,0.0369873,0,0,7557.583,135.9482,50,1488.909,10039.23,145.7505,48.36121,1440.015,12229.67,1.217041E-02,0,0,5551.783,1.588694E+07,1020.638,4.572121,2.705306,0.2732567,--,0,0,0,0,5.310059E-03,0,0,8.05,0.0534668,0,0,34.56667,74.49707,39.97803,1191.182,39.75,0.0534668,0,0,35.85,7090333,159.6499,0.5239149,4.11603,3.812616,3.837543,-3.074363E-03
20250608_000931,0.6531372,0,0,25,0,0,0,0,2.252197E-02,0,0,0,184.4196,42.22526,1262.123,--,1.611052E+07,983.0729,17.7228,4.358362,7.994502,-6.130642E-02,--,0.2423322,9.338378E-04,0,0,58.08333,0.3594342,49.49951,1385.901,54.53333,1017905,186.9213,0,0,0,0,0,--,0,70.95,357761,0,5.603028E-04,0,0,60.63334,0.3539245,44.99817,1259.949,56.38334,1179033,227.0689,0.0369873,0,0,4898.083,4.931641E-02,0,0,7557.583,135.77,50,1488.909,10039.25,145.7505,48.36426,1440.288,12229.68,1.217041E-02,0,0,5551.783,1.588695E+07,1013.137,4.581525,2.699967,0.2835648,--,0,0,0,0,5.310059E-03,0,0,8.05,0.0534668,0,0,34.56667,74.15845,40.00244,1191.182,39.76667,0.0534668,0,0,35.85,7090336,158.7818,0.5318721,4.118562,3.837573,3.859266,1.808449E-03
